Department,course_code,course_name,credits,distribution,prerequisites,overlap_with,syllabus
Mathematics,MAL501,Complex Analysis,3,3-0-0,MAL402 or Equivalent,NA,Complex numbers: Basic properties of complex numbers - complex planes - topology of the complex plane; Functions of a complex variable: Limits; continuity and complex differentiability - holomorphic functions - Cauchy Riemann equations - harmonic functions - elementary functions - some application of harmonic functions; Integration in complex plane: Contour integrals- antiderivatives - path independence - Cauchy-Goursat theorem - Cauchy's integral formula - consequences of Cauchy’s integral formulas- Liouville's theorem and the fundamental theorem of algebra - Morera’s theorem open mapping theorem - maximum modulus principle; Sequences and series: Power series -Taylor and Laurent series - isolated singularities - zeros and poles - residues - residue theorems - the argument principle - Rouche’s theorem - evaluation of real integrals via contour integration; Conformal mappings: Mobius transformations - Schwarz lemma - automorphisms of the disc and upper half plane - Riemann mapping theorem.
Mathematics,MAL502,Functional Analysis,4,3-1-0,MAL402 or Equivalent,NA,Normed spaces: Normed space-Banach spaces-linear maps-boundedness-non-compactness of the unit ball in infinite dimensional normed linear spaces-Banach-Steinhaus theorem-open mapping theorem- closed graph theorem- Hahn-Banach Theorem-Introduction to compact linear maps; Hilbert Spaces: Bessel's inequality-complete systems-Gram-Schmidt orthogonalization- Parseval's identityprojections-orthogonal decomposition-Bounded Operators and Adjoints-Normal; Unitary and SelfAdjoint Operators; Dual spaces-Riesz representation theorem-reflexivity-weak topologies-weak convergence-weak compactness-Banach-Alaoglu theorem.
Mathematics,MAL503,Discrete Mathematics,4,3-1-0,None,NA,The content of this course is exactly overlapping with CSL201 and the same will be offered by the discipline of Computer Science and Engineering.
Mathematics,MAL504,Data Structure,4,2-1-2,MAL400,NA,The content of this course is exactly overlapping with CSL202 and the same will be offered by the discipline of Computer Science and Engineering.
Mathematics,MAL505,Database Management Systems,4,3-0-2,None,NA,The content of this course is exactly overlapping with CSL303 and the same will be offered by the discipline of Computer Science and Engineering.
Mathematics,MAL510,Elementary Number Theory,3,3-0-0,None,CSL201 (10%); MA519 (100%),Preliminaries: Well-Ordering Principle - Mathematical induction - Binomial theorem. Divisibility theory: Division algorithm - The greatest common divisor and the least common multiple Euclidean Algorithm - Prime numbers- Prime number theorem (statement only); Fundamental theorem of arithmetic. The linear Diophantine equation in two unknowns. The theory of congruences: Fermat's theorem; Pseudoprimes; Wilson's Theorem; Euler's generalization of Fermat's theorem; Number Theoretic functions. Primitive roots. The quadratic reciprocity law; Brief introduction to public key cryptography. Number of special forms: Perfect numbers - Mersenne primes - Fermat numbers - Fibonacci numbers. Some nonlinear Diophantine equations: The Pythagorean equations; A special case of Fermat's last theorem; Representation of integers as sums of squares; Continued fractions; Pell's equation.
Mathematics,MAL511,Additive Number Theory,3,3-0-0,MAL404 or equivalent,ME212 (20%); ME111 (10%),Sumsets: Introduction to sumsets – Direct and inverse problems for sumsets. Sumsets in torsion-free abelian groups: Freiman homomorphisms and Freiman isomorphisms; basic lower bounds and inverse theorems for sumsets. Sizes of Sumsets: Doubling constant – Ruzsa distance – additive energy – Ruzsa’s covering lemma; Green-Ruzsa covering lemma – Sidon sets – Frieman’s 3k-4 theorem – sum-product problems. Sumsets in groups: Cauchy-Davenport theorem – Pollard’s theorem – Erdӧs-Ginzburg-Ziv theorem – Chevalley-Warning theorem – Vosper’s theorem – Freiman-Vosper theorem – Kemperman’s theorem – Kneser’s addition theorem and its applications – Rectification principles. The Polynomial method: Alon’s combinatorial Nullstellensatz – restricted sumsets and the ErdӧsHeilbronn conjecture – Dias da Silva-Hamidoune theorem – Snevily’s conjecture – Kemnitz’s conjecture. Sumsets in higher dimensional Euclidean space. Geometry of nimbers: Lattices and determinants – Minkowski’s first theorem and Minkowski’s second theorem. Structure of sets with small sumsets: Plϋnnecke-Ruzsa theorem – review of Fourier analysis on groups – Bohr sets in sumsets – Bogolyubov’s Lemma – generalized arithmetic progression in Bohr sets – Freiman-Ruzsa Theorem.
Mathematics,MAL512,Partial Differential Equations,3,3-0-0,MAL405 or equivalent.,MA606 (90%),First order PDEs: Cauchy problems-linear; quasilinear and nonlinear partial differential equationsmethod of characteristics-existence of local solutions-weak solution-introduction to conservation lawsweak solutions-Rankine-Hugoniot condition- shocks-Lax-Oleinik formula-entropy condition and uniqueness of entropy solution. Second Order PDEs: Classification-Characteristics. Laplace and Poisson's Equation: Fundamental solutions-Mean value Property-Harmonic functionsHarnack inequality-Green’s function-Maximum principle-Hopf Lemma-Perron’s method-Duhamel's principle-energy methods-introduction to variational method. Heat Equation: Fundamental solution and initial-value problem-mean value formula-maximum principle; uniqueness and regularity Wave equation: One dimensional wave equation-solutions in odd and even dimensions.
Mathematics,MAL514,Statistical Inference,3,3-0-0,MAL403 or equivalent.,MAL403 (20%); MA509 (100%),Statistical inference problem: Parametric inference-Data collection- Statistics- Estimator-Sampling distribution. Order Statistics: Distribution of r-th order statistics-distribution of r-th and s-th order statistics; sample median- sample range-mid-range. Sufficiency and Completeness: Sufficiency and minimal sufficient statistics-Neyman Fisher factorization theorem-Ancillary statistics- completeness-Basu’s Theorem and its applicationExponential family. Method of estimation: Maximum likelihood estimator (MLE)-properties of MLE’s-Method of momentsLeast Square Estimator. Unbiased Estimation and Lower bound for variance: Unbiased estimation-uniformly minimum variance unbiased estimator (UMVUE)-Fisher information-Cramer-Rao lower bound (CRLB)- Bhattacharyya bound- Rao-Blackwell theorem-Lehman-Scheffe theorem. Statistical Hypotheses: Simple and composite-statistical tests-critical regions-Type I and Type II errorssize and power of a test-Neyman Pearson lemma and its different applications-Most powerful testuniformly most powerful test-unbiased test and uniformly most powerful unbiased test-Likelihood ratio test-Application to normal distribution; p-value. Interval estimation: Confidence intervals-construction of confidence intervals-shortest expected length confidence interval-most accurate one sided confidence interval and its relation to UMP test.
Mathematics,MAL600,Introduction to Spectral Theory,3,3-0-0,MAL502 or equivalent,None,Introduction: Origin – spectrum and invertibility. Banach Algebra: Ideals & quotients – spectrum of an element of Banach algebra – spectral radius – Reisz functional calculus – dependence of the spectrum on the algebra. Spectral Representation: Spectrum and resolvent – various sub-divisions of spectrum – spectral projection – spectral measure – spectral representation theorem of compact operators and self-adjoint operators. Compact Perturbation & Fredholm theory: Calkin algebra – Fredholm operators – Fredholm index – Reisz theory of compact operators – Fredholm alternative – essential spectrum – further analysis of spectrum. Spectral Properties of unbounded linear operators: Unbounded linear operators and Hilbert adjoint – symmetric and self-adjoint linear operators – multiplication operator – differentiation operator.
Mathematics,MAL602,Operator Theory II,3,3-0-0,MAL502 or equivalent,MAL601 (15%),Overview of Gelfand theory-C*- algebras the GNS construction-Spectral theorem for normal operatorSchatten-p-class operators. Basic Von-Neumann Algebras- Trace class operator-Hilbert Schmidt Operator-Dual of trace class operators-Commutant. Operator spaces-Contractive and complete contractive homomorphism-Function Algebra-Dilation.
Mathematics,MAL603,Martingale Theory,3,3-0-0,MAL403 or equivalent,MAL402 (5%); MAL403 (10%); MAL608 (100%),Review of measure theory and conditional expectation: Sigma algebras-measurable functionsLebesgue integrals-conditional probability-conditional expectation-conditional independence. Discrete Time Martingales: Filtrations-martingales-submartingales and supermartingales-Doob decomposition theorem-discrete stopping times-stopped martingales-optional sampling theorem-maximal and upcrossing inequalities. Continuous time martingales: Continuous stopping times-local martingalesBrownian motion-semimartingales.
Mathematics,MAL604,Stochastic Processes,3,3-0-0,MAL403 or equivalent.,MAL403 (2.5%); MA611 (100%),Discrete-time Markov chains: Definition and basic properties; Markov property. class division; hitting time and absorption probabilities; strong Markov property; recurrence and transience; invariant distributions; convergence to equilibrium; time reversal. ergodic theorem. Random walk— in dimension one; two and three; The Reflection Principle; hitting probabilities of a finite sets; Last visits and Long leads; Maxima and first passages; Duality; position of maxima. Continuous time Markov chains: Definition and examples; Q-matrices; embedded Markov chain; Kolmogorov forward and backward equations; classification of states; limit theorems. Poisson Process: Definition and properties; inter arrival and waiting time distributions; conditional distribution of arrival times; its different characterizations. Markov chain mixing: Coupling and total variation distance; Mixing time; upper bound and lower bound on mixing time. 
Materials Science and Metallurgical Engineering,MML201,Thermodynamics of Materials,3,3-0-0,None,MEL211 (15-20%); CYL504 (15-20%),Importance of thermodynamics; definition of thermodynamic terms; concept of states; simple equilibrium; Equation of states; extensive and intensive properties; homogeneous and heterogeneous systems. Phase diagram of a single component system; Internal energy; First law of thermodynamics; heat capacity; enthalpy; isothermal; and adiabatic processes; Second law of thermodynamics; entropy; degree of reversibility and irreversibility; criteria of equilibrium; auxiliary functions; combined statements; Maxwells relations; transformation formula; Gibbs-Helmoltz equation; Concept of Third law; temperature dependence of entropy; statistical interpretation of entropy; Debye and Einstein concept of heat capacity; relation between Cp and Cv; consequences of third law; Fugacity; activity; equilibrium constant; use of S - functions; controlled atmospheres; homogeneous and heterogeneous equilibria. Ellingham Richardson diagrams; Solutions; partial molal quantities; ideal and non-ideal solutions; Raoults law; Henrys law; Gibbs - Duhem equation; regular solution; quasi-chemical approach to solution; statistical treatment. Alternative standard states; interaction coefficients; chemical potential; Phase relations and phase rule-its applications. Free energy-composition diagrams for binary alloy systems; determination of liquidus; solidus and solvus lines. Effect of pressure on phase transformation and phase equilibria. Phase stability diagrams. Thermodynamics of electrochemical cells; solid electrolytes. Thermodynamics of point defects in solids; Introduction to metallurgical kinetics; Effect of concentration and temperature on the reaction rate; heterogeneous reaction kinetics-gas-solid; solidliquid; liquid-liquid and solid-solid systems. Empirical and semi-empirical kinetics; concept of Johnson Mehl equation; thermal analysis.
Materials Science and Metallurgical Engineering,MML202,Structure of Materials,3,3-0-0,None,MML552 (15%); MML254 (20%),Introduction: Structure of non-crystalline; crystalline; and liquid-crystalline states across length scales; including short- and long-range ordering; Bonding: van der Waal’s; ionic; covalent; and metallic bonding; classical versus a quantum mechanical picture of bonding; particle-wave duality; Schrodinger’s equation; particle-in-a-box; metallic solid; hydrogen atom; covalent solid; band theory of solids; Defects: point; line and surface defects/imperfections. importance of defects on properties; dislocations and stacking faults; Structures: Crystal structure of the elements. Closed-packed metalscubic and hexagonal packed structure. Crystal structure of some simple inorganic compounds. Crystals with general formula AXm; ABxCy; Crystal structures; points; directions and planes; unit cell; Bravais lattice; basis; symmetry- translation; rotation; inversion; 32 Crystallographic Point Groups; 230 Space Groups; real and reciprocal Lattices; Brillouin zones; application of reciprocal lattices to diffractionscattering from electrons; atoms; crystals; structure factor; Diffraction and structure determination.
Materials Science and Metallurgical Engineering,MML203,Chemical Synthesis of Materials,3,3-0-0,CYL100,NA,Introduction: Definition of synthesis; historical examples of key synthetic discoveries; prospects; Review of thermodynamics and kinetics in synthesis; Basics of nucleation and growth processes; ceramic synthesis; Scale-up of synthetic processes; Self-Assembly: Supramolecular self-assembly; Gels; 3D self-assembly; Self-assembling monolayers; Sol-Gel Reactions for Ceramic Synthesis: Synthesis of metal alkoxides; Gelation and calcination; Polymerization: Polycondensations; Addition chain growth; Copolymerization; Living polymerizations; Hyperbranching; Synthesis of Nanomaterials: Solid-liquid interface interactions Influence of reaction conditions on morphological properties of materials; Quantum dots; Nanowires; Carbon nanotubes; combustion methods; Supramolecular Nanostructures; intercalation; and mild methods; Dendrimers; Colloids; Vapor Phase Synthesis: Gas phase reactions; solid substrate-vapor interactions in CVD; PVD. Effect of vapor deposition conditions on growth and morphology thin films; molecular beam epitaxy; Composite Synthesis: Classification of composite materials; Metal matrix systems; Ceramic matrix systems; Polymer matrix systems.
Materials Science and Metallurgical Engineering,MML204,Phases; Phase Transformations and Properties of Materials,3,3-0-0,None,NA,Introduction to crystal structures; planes and lattice; Defects and dislocations in materials; Principles of solidifications; evolution of microstructures in pure metals and alloys; concepts of grain and grain boundary; Introduction and classification of phase transformations. Diffusion in solids: laws and mechanism of diffusion; phenomenological approach and atomistic approach towards understanding diffusion; Nucleation and growth theories of vapour to liquid; liquid to solid; and solid to solid transformations; homogeneous and heterogeneous nucleation; interface-controlled growth and diffusion controlled growth; transformation kinetics; Iron-carbon alloy system: iron-carbon phase diagram; nucleation and growth of pearlite; cooling of hypo-eutectoid; eutectoid; and hyper-eutectoid steels; development of microstructures in cast irons; Introduction to physical and mechanical properties of materials; Heat treatment of steels: TTT and CCT diagrams; bainitic transformation; martensitic transformation; hardenability; role of alloying elements in steels; conventional heat treatment of steels; Massive transformation. Order-disorder transformation. Phase transformations and heat treatment of some common non-ferrous metals and alloys; Precipitation from solid solution: types of precipitation reactions; crystallographic description of precipitates; precipitation sequence and age hardening; spinoidal decomposition.
Materials Science and Metallurgical Engineering,MML205,Principles of Extractive Metallurgy,3,3-0-0,None,NA,Mineral dressing; size reduction of solids; selection; breakage and classification function; particle size distributions; minimum sample size for ground material; slurry characterization; Metallurgical accounting and control; principles of flotation; design of mineral flotation circuits;floation columns; General equations of heat; mass and momentum balance; laminar; turbulent flow; concept of boundary layer; friction factor; heat and mass transfer coefficients and dimensionless correlations; Fluid flow and heat transfer in packed and fluidized bed; momentum transfer associated with high velocity gas jet and gas bubbles in liquid. Heat and mass transfer of moving boundary problems involving melting; solidification and reactions; Radiative heat exchange in transparent and absorbing medium. Refractories and uses; Unit Processes in pyrometallurgy: Fuels for metallurgical processes; Drying; calcination; roasting; pelletising and sintering; Thermodynamics of metal extraction; Slags; classification and properties. Reduction smelting in shaft furnace; alternative reductants; hydrogen as reductant; metallothermic reduction; Reactor design considerations; sizing of fluidized and fixed bed metallurgical reactors; Thermodynamic principles and applications of matte smelting and converting. Flash smelting and submerged bath smelting; Principles of metal refining with examples for metals like copper; nickel; lead; and zinc; design of metal separation using high temperature distillation; Unit processes in hydrometallurgy: leaching; purification of leach liquor; solvent extraction and ion exchange systems and flow sheet design; Unit processes in electrometallurgy: Faradays laws of electrolysis; concept of overvoltage; limiting current density; overall cell voltage; series and parallel electrical circuits in refining. Electrowinning and electrorefining with reference to metals like Cu; Zu; Al and Mg.
Materials Science and Metallurgical Engineering,MML251,Physical Properties of Materials,3,3-0-0,None,PH513 (60%); MML202 (10%),Electron transport in metals; semiconductors; organic semiconductors; transport mechanisms including hopping; hole transport; ionic conductors etc. Dielectric and optical properties of semiconductors and metals; excitons; dielectric constant; polarizability; sources of polarizaility- dipolar; ionic; electronic; complex dielectric constant; dielectric losses; optical transitions; selection rules; absorption; transmission; emission; direct and indirect transitions in inorganic and organic semiconductors. Magnetic Properties; microscopic origin of magnetism; dia-; para-; ferro-; ferri-; and antiferro-magnetism; anisotropic effects; magnetic domains; magnetostriction; soft and hard magnetic materials; Bonding of atoms; Crystal Structure and reciprocal lattice; Wigner seitz cells; Free-electron theory: electron gas; Fermi-Dirac distribution; density of states for electrons; Fermi Energy; Fermi surface; Fermi temperature; Band theory of solids; Bloch Theorem; Brillouin zone; Kronig Penney model; band gap and structure; effective mass; holes; conductivity of metals; semiconductors; impurity contributions; intrinsic and extrinsic semiconductors; carrier concentration; electrical conductivity and mobility of semiconductors; Hall effect; direct and indirect band gap; Lattice dynamics: phonons; Thermal properties; Drude model for electronic conductivity and thermal conductivity; Wiedemann Franz Law.
Materials Science and Metallurgical Engineering,MMP251,Chemical Synthesis and Characterization Lab,1.5,0-0-3,None,NA,Metal/Metal oxide Nanomaterials: Synthesis of Metal/Metal oxide Nanomaterials; Physicochemical characterizatio of Metal/Metal oxide Nanomaterials; Ceramic: Synthesis of ceramic materials; Physicochemical characterizatio of ceramic materials; Polymeric materials: Synthesis of polymeric materials; Physicochemical characterizatio of polymeric materials; Nanocompositie materials: Synthesis of nanocompositie materials; Physicochemical characterizatio of nanocompositie materials .
Materials Science and Metallurgical Engineering,MML252,Materials-Characterization-Scattering and Imaging,3,3-0-0,None,MML501 (50%),Scattering: optical scattering; absorption; transmission; reflection; polarization; excitation and deexcitation; types of radiations; common bases of the spectroscopic/measurement techniques like signal-to-noise ratio; resolution; etc; Diffraction: optical; elastic interaction of X-ray with matter; X-ray scattering techniques; Laue method; crystal structure determination; powder XRD; GI-XRD; X-ray stress measurements; X-ray spectroscopy; Phase diagram determination; residual stress measurement; crystallite size; neutron diffraction; electron diffraction (RHEED etc); Imaging: optical imaging; light optics; microscope components; possibilities and limitations; different modes of microscopy; scanning electron microscopy; secondary electron and backscattered electron imaging; atomic force microscopy; magnetic force microscopy; electric force microscopy etc scanning tunneling microscopy; transmission electron microscopy; STEM; Types of electron-matter interactions and electronic emission; scanning (SEM+EDX) and transmission microscopy (TEM); electronic diffraction (SAED etc); scanning transmission electron microscopy; etc.
Materials Science and Metallurgical Engineering,MML253,Computational Materials Science and Engineering,3,3-0-0,None,MML554 (20%),Introduction to computational material science and engineering – Goal and various approaches; Multiscale Simulation Methods – Finite element analysis; Monte Carlo Method; Molecular Dynamics; ab initio methods; Specific computer literacy required for computational material science: Linux; bash scripting; MATLAB; Atomistic theory of matter: Basics of quantum mechanics; Hartree-Fock theory; basis sets; Statistical mechanics of materials: equilibrium and non-equilibrium systems and ensembles; microcanonical; canonical; grand canonical ensembles; Stochastic processes and stochastic modelling: Genetic algorithm for atomic clusters; Introduction to basics of coarse graining in materials simulation: energy-; force-matching; and structure-based coarse graining.
Materials Science and Metallurgical Engineering,MML254,Mechanical Behavior of Materials,3,3-0-0,None,MML202 (10%),Force distributions in structures (review); failure in context; Displacement → strain; Internal forces: stress; Tensorial stress and strain; transformations; Introduction to elasticity; plasticity and theory of failure; Elastic constants (atomistic origin); State of stress in 2D/3D; Transformation of stress; Principal stresses; Mohr Circle; Stress-strain relationships in isotropic and anisotropic materials; Viscoelasticity; Mechanical testing of materials : tensile tst; hardness; toughness; etc; Theoretical Strength; Concept of Dislocations; Slip; Burger Vector and Stress and Strain fields of Dislocations; Energy of Dislocations; Forces on dislocation; Line tension; Motion of Dislocations; Peierls Model; Concept of slip systems; Dislocation in crystal systems; Source of dislocations and multiplication; Stacking faults and energy; Strengthening mechanisms : Strain hardening; Solid Solution Strengthening; Precipitation and Dispersion Strengthening; Grain Boundary and Hall-Petch relation; Martensitic Strengthening; Creep; Time-dependent plasticity; Deformation mechanism maps of elastoplasticity; Fracture: Evolution of fracture models: ultimate failure; Microstructural mechanisms of fracture strengthening; Fatigue: Failure below fracture stress: insidious failure; Empirical fatigue models; Microstructural mechanisms of prolonged fatigue lifetime. 
Materials Science and Metallurgical Engineering,MML301,Materials Characterization – Spectroscopy and Other Analytical Tools,3,3-0-0,None,NA,Vibrational spectroscopy: Introduction to vibrational spectroscopy; FTIR Sampling Techniques and Methodology; Beyond mid-IR Spectroscopy and Multi-modal Analysis; Microanalysis using FTIR Spectroscopy; Raman spectroscopy; selection rules; applications of Raman spectroscopy; Scanning tunneling; Auger electron; photoelectron (UV and X-ray) -spectroscopies; X-ray absorption near edge fine structure spectroscopy; X-ray fluorescence; etc; NMR: Fundamentals of the NMR; 1H and 13C NMR. 1D NMR techniques: Decoupling; DEPT; relaxation measurement. 2D NMR techniques: Homoand heteronuclear correlation (COSY; TOCSY; HSQC; HMBC); measurement of the nuclear Overhauser effect (NOESY; ROESY); Mass spectrometry and hybrid methods: Principles and ion sources; structural analysis; analysis of gas and solutions (Eg: GC-MS; LC-MS); analysis of solid samples; ambient mass spectrometry; Other analytical techniques: Thermo gravimetric analysis (TGA); differential thermal analysis (DTA); differential scanning calorimetry (DSC); dynamic mechanical analysis (DMA); Nanoindentation; BET and Langmuir surface area.
Materials Science and Metallurgical Engineering,MMP301,Computational Materials Science and Engineering Lab,1,0-0-2,MML252,NA,Introduction to Linux operating system; Bash scripting; Introduction to some open source and some commercially available computational tools for Material science; Introduction to LAMMPS software; Modelling simple systems; Introduction to Gaussian and Gauss view; Modelling kinetics of simple chemical reactions; Modelling spectroscopic properties; Introduction to VASP software; Modelling various Solid-State properties; Project; developing own code for genetic algorithm for atomic clusters; Developing own code for simple Monte Carlo simulation.
